Center,Location
"Advanced Computing in the Humanities - ACO*HUM","Bergen, Norway"
"Alabama Digital Humanities Center - ADHC","109A Amelia Gayle Gorgas Library, 711 Capstone Dr Tuscaloosa, AL 35487"
"Alfa Informatica","Groningen, Netherlands"
"Alliance of Digital Humanities Organisations - ADHO",""
"American Council of Learned Societies","633 Third Avenue, New York, NY, United States 10017-6795"
"American Historical Association - AHA","United States"
"An Foras Feasa","Maynooth, Co Kildare, Ireland"
"Ancient World Mapping Center","Chapel Hill, NC, United States"
"Applied Linguistics Postgraduate Program - LAEL","Sao Paulo, Brazil"
"Arbeitsstelle Computerphilologie","Universität Hamburg Department Informatik Vogt-Kölln Strasse 30 222 527 Hamburg, Germany"
"Austrian Centre for Digital Humanities – OEAW","Austrian Academy of Sciences Sonnenfelsgasse 19 1010 Vienna, Austria"
"Baker-Nord Center for the Humanities","Clark Hall, Room 206 11130 Bellflower Road Cleveland, OH 44106-7120"
"Bereich Historische Fachinformatik","Berlin, Germany"
"Bibliothèques Virtuelles Humanistes","France"
"British Academy","London, United Kingdom"
"C3 MIT Convergence Culture Consortium","MIT, Cambridge, MA, United States"
"Canadian Institute for Research in Computing and the Arts","400 Arts and Convocation Hall University of Alberta Edmonton, Alberta, T6G 2E6"
"Center for Applied Technologies in the Humanities - CATH","Blacksburg, VA, United States"
"Center for Digital Humanities","Princeton, NJ, United States"
"Center for Digital Humanities - CDH","Columbia, SC, United States"
"Center for Digital Humanities - Humanistika","Beograd, Serbia"
"Center for Digital Humanities Perm State University","Perm, Russian Federation"
"Center for Digital Humanities Wuhan University","No. 299, Bayi Road, Wuchang Dist., Wuhan, Hubei Province, P. R. China"
"Center for Digital Research In Humanities","Lincoln, NE, United States"
"Center for Digital Scholarship","Providence, RI, United States"
"Center for Evolving Humanities","Bunkyo-ku, Tokyo, Japan"
"Center for Geographic Analysis","737 Cambridge Street, Cambridge MA 02138"
"Center for History and New Media","Fairfax, VA, United States"
"Center for Humanities and Digital Research (CHDR)","Orlando, FL, United States"
"Center for Public History - Digital Humanities","Department of History Cleveland State University 2121 Euclid Avenue, RT 1307 Cleveland, OH 44115-2214"
"Center for Scholarly Communication & Digital Curation","Evanston, IL, United States"
"Center of Digital Humanities Research","College Station, TX, United States"
"Centre d'etudes superieures de la renaissance","Tours, France"
"Centre de recherche Hubert de Phal","Paris, France"
"Centre de traitement automatique du langage","Louvain-la-Neuve, Belgium"
"Centre for Digital Humanities","Ryerson University, Toronto, ON, Canada"
"Centre for Digital Humanities - Eötvös Loránd University","Múzeum krt. 6-8. Room -105 1088 Budapest Hungary"
"Centre for Educational Technology","Cape Town, South Africa"
"Centre for Information Modelling – ACDH","Graz, Austria"
"Centre for Literary and Linguistic Computing","Newcastle, Australia"
"Centre for Research in Arts, Social Sciences and Humanities","Cambridge, United Kingdom"
"Centre for Textual Studies - CTS","Leicester, United Kingdom"
"Centre Informatique de Philosophie et Lettres","Liege, Belgium"
"Centre national pour la numérisation de sources visuelles","CN2SV-CNRS c/o CRHST 30, Av. Corentin Cariou 75930 Paris, France Cedex 19"
"Centre pour l'édition électronique ouverte (Cléo)","Marseille, France"
"Centre Virtuel de la Connaissance sur l'Europe (CVCE)","Sanem, Luxembourg"
"Chaco Research Archive","Charlottesville, VA, United States"
"China Biographical Database Project Office","Harvard, Cambridge, MA, United States"
"CIHAM (UMR 5648)","Lyon, France"
"CIRCAh","London, United Kingdom"
"CISADU","Rome, Italy"
"Cologne Center for eHumanities - CCeH","Universitätsstraße 22 50937 Köln, Germany"
"Comparative Media Studies - CMS","77 Massachusetts Avenue, 14E-303 Cambridge, MA 02139, USA"
"Computer Applications - CAPP","Notre Dame, IN, United States"
"Computer Science/Studies Program - CAPP","Peterborough, ON, Canada"
"Computerlinguistik und Technologie","Bielefeld, Germany"
"Computers and Society, AC M",""
"Coordenadoria de Políticas de Inclusão Informacional","Belo Horizonte, Minas Gerais, Brazil"
"Corso di laurea in Informatica umanistica","University of Pisa, Pisa, Italy"
"CRIHN","2900 Boulevard Edouard-Montpetit, Montréal, QC H3T 1J4, Canada"
"CSUN Center for the Digital Humanities","Northridge, CA, United States"
"Cultures Anglophones et Technologies de l'Information","University Paris-Sorbonne, Paris, France"
"CUNY Graduate Center Digital Initiatives","365 Fifth Avenue, New York, NY 10016"
"DARIAH-DE","Platz der Göttingen Sieben 1 37073 Göttingen, Germany"
"Delta College Writing Center Cafe","University Center, MI, United States"
"Department of Digital Humanities","King's College London 26-29 Drury Lane Strand Campus London WC2B 5RL"
"Deutsche Forschungsgemeinschaft - DFG","Germany"
"dhrg","Trento, Italy"
"digHUMlab","Aarhus, Denmark"
"Digital Games Research Assocation - DiGRA","United Kingdom"
"Digital Humanities 2.0","Minneapolis, MN, United States"
"Digital Humanities Advanced Research Centre",""
"Digital Humanities and Publishing Research Group","INDORE Madhya Pradesh 453552"
"Digital Humanities at Richard Stockton College","Pomona, NJ, United States"
"Digital Humanities at The Open University","Milton Keynes, United Kingdom"
"Digital Humanities Center","305 Butler Library 535 West 114th St. New York, NY, United States 10027"
"Digital Humanities Center - University of Balamand","University of Balamand, Balamand, Lebanon"
"Digital Humanities Center for Japanese Arts and Cultures","Kyoto, Japan"
"Digital Humanities Hub","Acton, ACT, Australia"
"Digital Humanities Lab","Utrecht, Netherlands"
"Digital Humanities Laboratory - DHLAB","INN 140 (Bâtiment INN) Station 14 CH-1015 Lausanne, Switzerland"
"Digital Humanities Research Group","Penrith, Australia"
"Digital Humanities Research Unit - DHRU","Lagos, Nigeria"
"Digital Scholarship Lab","Richmond, VA, United States"
"Digital Writing and Research Lab","University of Texas at Austin, Austin, TX, 78712-0200"
"Digitales","Madrid, Spain"
"Douglas College Digital Cultures Lab","Vancouver, BC, Canada"
"e-Humanities Group (KNAW)","Amsterdam, Netherlands"
"Edith Cowan Center for Global Issues","Edith Cowan University, Joondalup WA 6027, Australia"
"Electronic Textual Cultures Lab","University of Victoria PO Box 1700 STN CSC Victoria BC, Canada V8W 2Y2"
"Emory Center for Digital Scholarship","Emory University, 201 Dowman Drive, Atlanta, Georgia 30322 USA"
"ETRUS","Saskatoon, Canada"
"European Association for Digital Humanities -EADH",""
"European Language Resources Association - ELRA","9, rue des Cordelières 75013 Paris, France"
"Fondazione Rinascimento Digitale","CF 94120730489 Via Bufalini 6, 50122 Firenze, Italy"
"Göttingen Centre for Digital Humanities - GCDH","Heyne-Haus Papendiek 16 D-37073 Göttingen, Germany"
"HASTAC","Durham, NC, United States"
"hist.net","Basel, Switzerland"
"Historisch-Kulturwissenschaftliche Informationsverarbeitung","University of Cologne Albertus-Magnus-Platz D-50931 Köln, Germany"
"Hong Kong Baptist University Library","34 Renfrew Rd, Kowloon Tong, Hong Kong"
"Humanities Advanced Technology and Information Institute","Glasgow, Scotland"
"Humanities and Critical Code Studies (Haccs) Lab","Los Angeles, CA, United States"
"Humanities and Social Sciences Online - H-Net","141h Old Horticulture 506 East Circle Drive East Lansing, MI 48824 USA"
"Humanities Computing and Media Centre","3800 Finnerty Road Clearihue Building, B043 Victoria, BC, Canada V8P 5C2"
"Humanities Computing at Leiden University","Leiden, Netherlands"
"Humanities Hypermedia Centre - HHC","Wolfville, NS, Canada"
